key,de-DE,en-US,it-IT,es-ES
orcid.user.plugin.tab-text,ORCID,ORCID,ORCID,ORCID
orcid.user.plugin.form.id.label,ORCID,ORCID,ORCID,ORCID
orcid.user.plugin.form.id.hint.md,0000-000X-XXXX-XXXX,0000-000X-XXXX-XXXX,0000-000X-XXXX-XXXX,0000-000X-XXXX-XXXX
orcid.user.plugin.form.url.label,URL,URL,URL,URL
orcid.user.plugin.form.url.not-valid.md,The entered ID is not valid. [Click here](https://support.orcid.org/hc/en-us/articles/360006897674) for more details about the format of the ID.,The entered ID is not valid. [Click here](https://support.orcid.org/hc/en-us/articles/360006897674) for more details about the format of the ID.,The entered ID is not valid. [Click here](https://support.orcid.org/hc/en-us/articles/360006897674) for more details about the format of the ID.,The entered ID is not valid. [Click here](https://support.orcid.org/hc/en-us/articles/360006897674) for more details about the format of the ID.
orcid.user.plugin.form.url.empty.md,For example: [0000-0002-1825-0097](https://orcid.org/0000-0002-1825-0097). [Click here](https://support.orcid.org/hc/en-us/articles/360006897674) for more details about the format of the ID.,For example: [0000-0002-1825-0097](https://orcid.org/0000-0002-1825-0097). [Click here](https://support.orcid.org/hc/en-us/articles/360006897674) for more details about the format of the ID.,For example: [0000-0002-1825-0097](https://orcid.org/0000-0002-1825-0097). [Click here](https://support.orcid.org/hc/en-us/articles/360006897674) for more details about the format of the ID.,For example: [0000-0002-1825-0097](https://orcid.org/0000-0002-1825-0097). [Click here](https://support.orcid.org/hc/en-us/articles/360006897674) for more details about the format of the ID.
orcid.user.plugin.form.url.link.md,%(url)s,%(url)s,%(url)s,%(url)s
